행정구,세대,인구,면적
종로구,"73,554","153,531",23.91
중구,"61,075","125,941",9.96
용산구,"108,552","229,545",21.87
성동구,"136,000","308,519",16.85
광진구,"161,293","355,352",17.06
동대문구,"161,336","349,917",14.2
중랑구,"179,758","405,118",18.5
성북구,"186,542","439,292",24.56
강북구,"143,134","321,757",23.61
도봉구,"137,657","341,638",20.7
노원구,"217,528","548,371",35.44
은평구,"203,528","484,021",29.69
서대문구,"137,666","310,821",17.6
마포구,"170,955","374,579",23.88
양천구,"176,284","466,723",17.4
강서구,"256,746","599,501",41.43
구로구,"171,827","406,888",20.12
금천구,"106,464","233,145",13
영등포구,"169,466","368,733",24.57
동작구,"174,872","395,095",16.35
관악구,"260,090","503,900",29.57
서초구,"174,126","439,030",47
강남구,"228,853","545,809",39.51
송파구,"268,802","667,144",33.88
강동구,"177,579","432,168",24.58
합계,"4,243,687","9,806,538",605.25
