날짜,시,구,구코드,동,동코드,영문명,합계
2018,,종로구,,소계,,,"6,017"
2018,서울특별시,종로구,11010,사직동,1101053,Sajik-dong,309
2018,서울특별시,종로구,11010,삼청동,1101054,Samcheong-dong,118
2018,서울특별시,종로구,11010,부암동,1101055,Buam-dong,325
2018,서울특별시,종로구,11010,평창동,1101056,Pyeongchang-dong,542
2018,서울특별시,종로구,11010,무악동,1101057,Muak-dong,318
2018,서울특별시,종로구,11010,교남동,1101058,Gyonam-dong,354
2018,서울특별시,종로구,11010,가회동,1101060,Gahoe-dong,175
2018,,종로구,11010,종로1.2.3.4가동,1101061,Jongno 1·2·3·4(ilisamsa)-ga-dong,379
2018,서울특별시,종로구,11010,종로5·6가동,1101063,Jongno 5·6(oryuk)-ga-dong,266
2018,서울특별시,종로구,11010,이화동,1101064,Ihwa-dong,330
2018,서울특별시,종로구,11010,창신1동,1101067,Changsin 1(il)-dong,319
2018,서울특별시,종로구,11010,창신2동,1101068,Changsin 2(i)-dong,484
2018,서울특별시,종로구,11010,창신3동,1101069,Changsin 3(sam)-dong,318
2018,서울특별시,종로구,11010,숭인1동,1101070,Sungin 1(il)-dong,275
2018,서울특별시,종로구,11010,숭인2동,1101071,Sungin 2(i)-dong,433
2018,서울특별시,종로구,11010,청운효자동,1101072,Cheongunhyoja-dong,500
2018,서울특별시,종로구,11010,혜화동,1101073,Hyehwa-dong,571
2018,,종로구,,기타,,,1
2018,,중구,,소계,,,"5,638"
2018,서울특별시,중구,11020,소공동,1102052,Sogong-dong,31
2018,서울특별시,중구,11020,회현동,1102054,Hoehyeon-dong,329
2018,서울특별시,중구,11020,명동,1102055,Myeong-dong,126
2018,서울특별시,중구,11020,필동,1102057,Pil-dong,186
2018,서울특별시,중구,11020,장충동,1102058,Jangchung-dong,194
2018,서울특별시,중구,11020,광희동,1102059,Gwanghui-dong ,231
2018,서울특별시,중구,11020,을지로동,1102060,Euljiro-dong,88
2018,서울특별시,중구,11020,신당5동,1102065,Sindang 5(o)-dong,450
2018,서울특별시,중구,11020,황학동,1102067,Hwanghak-dong,514
2018,서울특별시,중구,11020,중림동,1102068,Jungnim-dong,531
2018,서울특별시,중구,11020,신당동,1102069,Sindang-dong,380
2018,서울특별시,중구,11020,다산동,1102070,Dasan-dong,633
2018,서울특별시,중구,11020,약수동,1102071,Yaksu-dong,875
2018,서울특별시,중구,11020,청구동,1102072,Cheonggu-dong,638
2018,서울특별시,중구,11020,동화동,1102073,Donghwa-dong,432
2018,,용산구,,소계,,,"8,102"
2018,서울특별시,용산구,11030,후암동,1103051,Huam-dong,807
2018,서울특별시,용산구,11030,용산2가동,1103052,Yongsan 2-ga-dong,488
2018,서울특별시,용산구,11030,남영동,1103053,Namyeong-dong,575
2018,서울특별시,용산구,11030,원효로2동,1103057,Wonhyoro 2(i)-dong,496
2018,서울특별시,용산구,11030,효창동,1103058,Hyochang-dong,307
2018,서울특별시,용산구,11030,용문동,1103059,Yongmun-dong,475
2018,서울특별시,용산구,11030,이촌1동,1103063,Ichon 1(il)-dong,538
2018,서울특별시,용산구,11030,이촌2동,1103064,Ichon 2(i)-dong,378
2018,서울특별시,용산구,11030,이태원1동,1103065,Itaewon 1(il)-dong,236
2018,서울특별시,용산구,11030,이태원2동,1103066,Itaewon 2(i)-dong,337
2018,서울특별시,용산구,11030,서빙고동,1103069,Seobinggo-dong,408
2018,서울특별시,용산구,11030,보광동,1103070,Bogwang-dong,626
2018,서울특별시,용산구,11030,청파동,1103071,Cheongpa-dong,824
2018,서울특별시,용산구,11030,원효로1동,1103072,Wonhyoro 1(il)-dong,444
2018,서울특별시,용산구,11030,한강로동,1103073,Hangangno-dong,519
2018,서울특별시,용산구,11030,한남동,1103074,Hannam-dong,644
2018,,성동구,,소계,,,"11,880"
2018,서울특별시,성동구,11040,왕십리2동,1104052,Wangsimni 2(i)-dong,678
2018,서울특별시,성동구,11040,마장동,1104054,Majang-dong,"1,096"
2018,서울특별시,성동구,11040,사근동,1104055,Sageun-dong,395
2018,서울특별시,성동구,11040,행당1동,1104056,Haengdang 1(il)-dong,638
2018,서울특별시,성동구,11040,행당2동,1104057,Haengdang 2(i)-dong,890
2018,서울특별시,성동구,11040,응봉동,1104058,Eungbong-dong,528
2018,서울특별시,성동구,11040,금호1가동,1104059,Geumho 1(il)-ga-dong,661
2018,서울특별시,성동구,11040,금호4가동,1104062,Geumho 4(sa)-ga-dong,521
2018,서울특별시,성동구,11040,성수1가1동,1104065,Seongsu 1(il)-ga1(il)-dong,617
2018,서울특별시,성동구,11040,성수1가2동,1104066,Seongsu 1(il)-ga2(i)-dong,578
2018,서울특별시,성동구,11040,성수2가1동,1104067,Seongsu 2(i)-ga1(il)-dong,840
2018,서울특별시,성동구,11040,성수2가3동,1104068,Seongsu 2(i)-ga 3(sam)-dong,448
2018,서울특별시,성동구,11040,송정동,1104069,Songjeong-dong,523
2018,서울특별시,성동구,11040,용답동,1104070,Yongdap-dong,793
2018,서울특별시,성동구,11040,왕십리도선동,1104071,WangsimniDoseon-dong,993
2018,,성동구,,금호2.3가동,,,955
2018,서울특별시,성동구,11040,옥수동,1104073,Oksu-dong,726
2018,,광진구,,소계,,,"12,610"
2018,서울특별시,광진구,11050,화양동,1105053,Hwayang-dong,549
2018,서울특별시,광진구,11050,군자동,1105054,Gunja-dong,790
2018,서울특별시,광진구,11050,중곡1동,1105055,Junggok 1(il)-dong,686
2018,서울특별시,광진구,11050,중곡2동,1105056,Junggok 2(i)-dong,884
2018,서울특별시,광진구,11050,중곡3동,1105057,Junggok 3(sam)-dong,775
2018,서울특별시,광진구,11050,중곡4동,1105058,Junggok 4(sa)-dong,"1,374"
2018,서울특별시,광진구,11050,능동,1105059,Neung-dong,366
2018,서울특별시,광진구,11050,구의1동,1105060,Guui 1(il)-dong,833
2018,서울특별시,광진구,11050,구의2동,1105061,Guui 2(i)-dong,"1,131"
2018,서울특별시,광진구,11050,구의3동,1105062,Guui 3(sam)-dong,818
2018,서울특별시,광진구,11050,광장동,1105063,Gwangjang-dong,731
2018,서울특별시,광진구,11050,자양1동,1105064,Jayang 1(il)-dong,902
2018,서울특별시,광진구,11050,자양2동,1105065,Jayang 2(i)-dong,975
2018,서울특별시,광진구,11050,자양3동,1105066,Jayang 3(sam)-dong,867
2018,서울특별시,광진구,11050,자양4동,1105067,Jayang 4(sa)-dong,929
2018,,동대문구,,소계,,,"15,838"
2018,서울특별시,동대문구,11060,회기동,1106071,Hoegi-dong,313
2018,서울특별시,동대문구,11060,휘경1동,1106072,Hwigyeong 1(il)-dong,601
