시도,시군구,행정구역명,행정동,법정동,법정동코드
서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,11000000
서울특별시,종로구,종로구,종로구,종로구,11110000
서울특별시,종로구,청운효자동,청운효자동,청운동,11110101
서울특별시,종로구,청운효자동,청운효자동,신교동,11110102
서울특별시,종로구,청운효자동,청운효자동,궁정동,11110103
서울특별시,종로구,청운효자동,청운효자동,효자동,11110104
서울특별시,종로구,청운효자동,청운효자동,창성동,11110105
서울특별시,종로구,청운효자동,청운효자동,통인동,11110108
서울특별시,종로구,청운효자동,청운효자동,누상동,11110109
서울특별시,종로구,청운효자동,청운효자동,누하동,11110110
서울특별시,종로구,청운효자동,청운효자동,옥인동,11110111
서울특별시,종로구,청운효자동,청운효자동,세종로,11110119
서울특별시,종로구,사직동,사직동,통의동,11110106
서울특별시,종로구,사직동,사직동,적선동,11110107
서울특별시,종로구,사직동,사직동,체부동,11110112
서울특별시,종로구,사직동,사직동,필운동,11110113
서울특별시,종로구,사직동,사직동,내자동,11110114
서울특별시,종로구,사직동,사직동,사직동,11110115
서울특별시,종로구,사직동,사직동,도렴동,11110116
서울특별시,종로구,사직동,사직동,당주동,11110117
서울특별시,종로구,사직동,사직동,내수동,11110118
서울특별시,종로구,사직동,사직동,세종로,11110119
서울특별시,종로구,사직동,사직동,신문로1가,11110120
서울특별시,종로구,사직동,사직동,신문로2가,11110121
서울특별시,종로구,삼청동,삼청동,팔판동,11110139
서울특별시,종로구,삼청동,삼청동,삼청동,11110140
서울특별시,종로구,삼청동,삼청동,안국동,11110141
서울특별시,종로구,삼청동,삼청동,소격동,11110142
서울특별시,종로구,삼청동,삼청동,화동,11110143
서울특별시,종로구,삼청동,삼청동,사간동,11110144
서울특별시,종로구,삼청동,삼청동,송현동,11110145
서울특별시,종로구,부암동,부암동,부암동,11110184
서울특별시,종로구,부암동,부암동,홍지동,11110185
서울특별시,종로구,부암동,부암동,신영동,11110186
서울특별시,종로구,평창동,평창동,구기동,11110182
서울특별시,종로구,평창동,평창동,평창동,11110183
서울특별시,종로구,무악동,무악동,무악동,11110187
서울특별시,종로구,교남동,교남동,교남동,11110176
서울특별시,종로구,교남동,교남동,평동,11110177
서울특별시,종로구,교남동,교남동,송월동,11110178
서울특별시,종로구,교남동,교남동,홍파동,11110179
서울특별시,종로구,교남동,교남동,교북동,11110180
서울특별시,종로구,교남동,교남동,행촌동,11110181
서울특별시,종로구,가회동,가회동,가회동,11110146
서울특별시,종로구,가회동,가회동,재동,11110147
서울특별시,종로구,가회동,가회동,계동,11110148
서울특별시,종로구,가회동,가회동,원서동,11110149
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,세종로,11110119
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,청진동,11110122
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,서린동,11110123
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,수송동,11110124
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,중학동,11110125
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,종로1가,11110126
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,공평동,11110127
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,관훈동,11110128
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,견지동,11110129
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,와룡동,11110130
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,권농동,11110131
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,운니동,11110132
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,익선동,11110133
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,경운동,11110134
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,관철동,11110135
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,인사동,11110136
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,낙원동,11110137
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,종로2가,11110138
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,훈정동,11110150
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,묘동,11110151
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,봉익동,11110152
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,돈의동,11110153
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,장사동,11110154
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,관수동,11110155
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,종로3가,11110156
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,인의동,11110157
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,예지동,11110158
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,원남동,11110159
서울특별시,종로구,종로1.2.3.4가동,종로1.2.3.4가동,종로4가,11110161
서울특별시,종로구,종로5.6가동,종로5.6가동,연지동,11110160
서울특별시,종로구,종로5.6가동,종로5.6가동,효제동,11110162
서울특별시,종로구,종로5.6가동,종로5.6가동,종로5가,11110163
서울특별시,종로구,종로5.6가동,종로5.6가동,종로6가,11110164
서울특별시,종로구,종로5.6가동,종로5.6가동,충신동,11110167
서울특별시,종로구,이화동,이화동,이화동,11110165
서울특별시,종로구,이화동,이화동,연건동,11110166
서울특별시,종로구,이화동,이화동,동숭동,11110168
서울특별시,종로구,혜화동,혜화동,와룡동,11110130
서울특별시,종로구,혜화동,혜화동,혜화동,11110169
서울특별시,종로구,혜화동,혜화동,명륜1가,11110170
서울특별시,종로구,혜화동,혜화동,명륜2가,11110171
서울특별시,종로구,혜화동,혜화동,명륜4가,11110172
서울특별시,종로구,혜화동,혜화동,명륜3가,11110173
서울특별시,종로구,창신1동,창신제1동,창신동,11110174
서울특별시,종로구,창신2동,창신제2동,창신동,11110174
서울특별시,종로구,창신3동,창신제3동,창신동,11110174
서울특별시,종로구,숭인1동,숭인제1동,숭인동,11110175
서울특별시,종로구,숭인2동,숭인제2동,숭인동,11110175
서울특별시,중구,중구,중구,중구,11140000
서울특별시,중구,소공동,소공동,소공동,11140111
서울특별시,중구,소공동,소공동,북창동,11140113
서울특별시,중구,소공동,소공동,태평로2가,11140114
서울특별시,중구,소공동,소공동,남대문로2가,11140115
서울특별시,중구,소공동,소공동,남대문로3가,11140116
서울특별시,중구,소공동,소공동,남대문로4가,11140117
서울특별시,중구,소공동,소공동,봉래동1가,11140119
서울특별시,중구,소공동,소공동,서소문동,11140166
서울특별시,중구,소공동,소공동,정동,11140167
서울특별시,중구,소공동,소공동,순화동,11140168
서울특별시,중구,소공동,소공동,의주로1가,11140169
서울특별시,중구,소공동,소공동,충정로1가,11140170
서울특별시,중구,회현동,회현동,남창동,11140112
서울특별시,중구,회현동,회현동,남대문로3가,11140116
서울특별시,중구,회현동,회현동,남대문로4가,11140117
서울특별시,중구,회현동,회현동,남대문로5가,11140118
서울특별시,중구,회현동,회현동,봉래동1가,11140119
서울특별시,중구,회현동,회현동,봉래동2가,11140120
서울특별시,중구,회현동,회현동,회현동1가,11140121
서울특별시,중구,회현동,회현동,회현동2가,11140122
서울특별시,중구,회현동,회현동,충무로1가,11140124
서울특별시,중구,회현동,회현동,순화동,11140168
서울특별시,중구,명동,명동,무교동,11140101
서울특별시,중구,명동,명동,다동,11140102
서울특별시,중구,명동,명동,태평로1가,11140103
서울특별시,중구,명동,명동,을지로1가,11140104
서울특별시,중구,명동,명동,을지로2가,11140105
서울특별시,중구,명동,명동,남대문로1가,11140106
서울특별시,중구,명동,명동,삼각동,11140107
서울특별시,중구,명동,명동,수하동,11140108
서울특별시,중구,명동,명동,장교동,11140109
서울특별시,중구,명동,명동,수표동,11140110
서울특별시,중구,명동,명동,남대문로2가,11140115
서울특별시,중구,명동,명동,회현동1가,11140121
서울특별시,중구,명동,명동,회현동2가,11140122
서울특별시,중구,명동,명동,회현동3가,11140123
서울특별시,중구,명동,명동,충무로1가,11140124
서울특별시,중구,명동,명동,충무로2가,11140125
서울특별시,중구,명동,명동,명동1가,11140126
서울특별시,중구,명동,명동,명동2가,11140127
서울특별시,중구,명동,명동,남산동1가,11140128
서울특별시,중구,명동,명동,남산동2가,11140129
서울특별시,중구,명동,명동,남산동3가,11140130
서울특별시,중구,명동,명동,저동1가,11140131
서울특별시,중구,명동,명동,예장동,11140142
서울특별시,중구,필동,필동,충무로4가,11140132
서울특별시,중구,필동,필동,충무로5가,11140133
서울특별시,중구,필동,필동,묵정동,11140136
서울특별시,중구,필동,필동,필동1가,11140137
서울특별시,중구,필동,필동,필동2가,11140138
서울특별시,중구,필동,필동,필동3가,11140139
서울특별시,중구,필동,필동,남학동,11140140
서울특별시,중구,필동,필동,주자동,11140141
서울특별시,중구,필동,필동,예장동,11140142
서울특별시,중구,필동,필동,장충동2가,11140144
서울특별시,중구,필동,필동,충무로3가,11140158
서울특별시,중구,장충동,장충동,묵정동,11140136
서울특별시,중구,장충동,장충동,장충동1가,11140143
서울특별시,중구,장충동,장충동,장충동2가,11140144
서울특별시,중구,광희동,광희동,충무로4가,11140132
서울특별시,중구,광희동,광희동,충무로5가,11140133
서울특별시,중구,광희동,광희동,인현동2가,11140134
서울특별시,중구,광희동,광희동,예관동,11140135
서울특별시,중구,광희동,광희동,광희동1가,11140145
서울특별시,중구,광희동,광희동,광희동2가,11140146
서울특별시,중구,광희동,광희동,쌍림동,11140147
서울특별시,중구,광희동,광희동,을지로6가,11140148
서울특별시,중구,광희동,광희동,을지로7가,11140149
서울특별시,중구,광희동,광희동,오장동,11140154
서울특별시,중구,을지로동,을지로동,을지로4가,11140150
서울특별시,중구,을지로동,을지로동,을지로5가,11140151
서울특별시,중구,을지로동,을지로동,주교동,11140152
서울특별시,중구,을지로동,을지로동,방산동,11140153
서울특별시,중구,을지로동,을지로동,을지로3가,11140155
서울특별시,중구,을지로동,을지로동,입정동,11140156
서울특별시,중구,을지로동,을지로동,산림동,11140157
서울특별시,중구,을지로동,을지로동,초동,11140159
서울특별시,중구,을지로동,을지로동,인현동1가,11140160
서울특별시,중구,을지로동,을지로동,저동2가,11140161
서울특별시,중구,신당동,신당동,신당동,11140162
서울특별시,중구,신당동,신당동,흥인동,11140163
서울특별시,중구,신당동,신당동,무학동,11140164
서울특별시,중구,다산동,다산동,신당동,11140162
서울특별시,중구,약수동,약수동,신당동,11140162
서울특별시,중구,청구동,청구동,신당동,11140162
서울특별시,중구,신당5동,신당제5동,신당동,11140162
서울특별시,중구,동화동,동화동,신당동,11140162
서울특별시,중구,황학동,황학동,황학동,11140165
서울특별시,중구,중림동,중림동,중림동,11140171
서울특별시,중구,중림동,중림동,의주로2가,11140172
서울특별시,중구,중림동,중림동,만리동1가,11140173
서울특별시,중구,중림동,중림동,만리동2가,11140174
서울특별시,용산구,용산구,용산구,용산구,11170000
서울특별시,용산구,후암동,후암동,후암동,11170101
서울특별시,용산구,용산2가동,용산2가동,용산동2가,11170102
서울특별시,용산구,용산2가동,용산2가동,용산동4가,11170103
서울특별시,용산구,남영동,남영동,갈월동,11170104
서울특별시,용산구,남영동,남영동,남영동,11170105
서울특별시,용산구,남영동,남영동,용산동1가,11170106
서울특별시,용산구,남영동,남영동,동자동,11170107
서울특별시,용산구,청파동,청파동,서계동,11170108
서울특별시,용산구,청파동,청파동,청파동1가,11170109
서울특별시,용산구,청파동,청파동,청파동2가,11170110
서울특별시,용산구,청파동,청파동,청파동3가,11170111
서울특별시,용산구,원효로1동,원효로1동,원효로1가,11170112
서울특별시,용산구,원효로1동,원효로1동,원효로2가,11170113
서울특별시,용산구,원효로1동,원효로1동,문배동,11170122
서울특별시,용산구,원효로1동,원효로1동,신계동,11170123
서울특별시,용산구,원효로2동,원효로2동,신창동,11170114
서울특별시,용산구,원효로2동,원효로2동,산천동,11170115
서울특별시,용산구,원효로2동,원효로2동,청암동,11170116
서울특별시,용산구,원효로2동,원효로2동,원효로3가,11170117
서울특별시,용산구,원효로2동,원효로2동,원효로4가,11170118
서울특별시,용산구,효창동,효창동,효창동,11170119
서울특별시,용산구,용문동,용문동,도원동,11170120
서울특별시,용산구,용문동,용문동,용문동,11170121
서울특별시,용산구,한강로동,한강로동,한강로1가,11170124
서울특별시,용산구,한강로동,한강로동,한강로2가,11170125
서울특별시,용산구,한강로동,한강로동,용산동3가,11170126
서울특별시,용산구,한강로동,한강로동,용산동5가,11170127
서울특별시,용산구,한강로동,한강로동,한강로3가,11170128
서울특별시,용산구,이촌1동,이촌1동,이촌동,11170129
서울특별시,용산구,이촌2동,이촌2동,이촌동,11170129
서울특별시,용산구,이태원1동,이태원1동,이태원동,11170130
서울특별시,용산구,이태원2동,이태원2동,이태원동,11170130
서울특별시,용산구,한남동,한남동,한남동,11170131
서울특별시,용산구,서빙고동,서빙고동,동빙고동,11170132
서울특별시,용산구,서빙고동,서빙고동,서빙고동,11170133
서울특별시,용산구,서빙고동,서빙고동,주성동,11170134
서울특별시,용산구,서빙고동,서빙고동,용산동6가,11170135
서울특별시,용산구,보광동,보광동,보광동,11170136
서울특별시,성동구,성동구,성동구,성동구,11200000
서울특별시,성동구,왕십리2동,왕십리2동,하왕십리동,11200102
서울특별시,성동구,왕십리도선동,왕십리도선동,상왕십리동,11200101
